Time,type_data,unit,Region,category,technology,sub_technology,material,value,min,max
#
2020,inflow,kg/MW,World,generation,WON,WON_GB-DFIG,steel,121376,,
2020,inflow,kg/MW,World,generation,WON,WON_GB-DFIG,aluminium,1141,,
2020,inflow,kg/MW,World,generation,WON,WON_GB-DFIG,concrete,433953,,
2020,inflow,kg/MW,World,generation,WON,WON_GB-DFIG,plastics,0,,
2020,inflow,kg/MW,World,generation,WON,WON_GB-DFIG,glass,0,,
2020,inflow,kg/MW,World,generation,WON,WON_GB-DFIG,copper,2731,,
2020,inflow,kg/MW,World,generation,WON,WON_GB-DFIG,tantalum,0,,
2020,inflow,kg/MW,World,generation,WON,WON_GB-DFIG,cobalt,0,,
2020,inflow,kg/MW,World,generation,WON,WON_GB-DFIG,lead,0,,
2020,inflow,kg/MW,World,generation,WON,WON_GB-DFIG,manganese,210,,
2020,inflow,kg/MW,World,generation,WON,WON_GB-DFIG,nickel,444,,
2020,inflow,kg/MW,World,generation,WON,WON_GB-DFIG,neodymium,12,,
2020,inflow,kg/MW,World,generation,WON,WON_GB-DFIG,dysprosium,2,,
2020,inflow,kg/MW,World,generation,WON,WON_GB-DFIG,praseodymium,0,,
2020,inflow,kg/MW,World,generation,WON,WON_GB-DFIG,terbium,0,,
#
2020,inflow,kg/MW,World,generation,WON,WON_GB-PMSG,steel,121376,,
2020,inflow,kg/MW,World,generation,WON,WON_GB-PMSG,aluminium,1141,,
2020,inflow,kg/MW,World,generation,WON,WON_GB-PMSG,concrete,433953,,
2020,inflow,kg/MW,World,generation,WON,WON_GB-PMSG,plastics,0,,
2020,inflow,kg/MW,World,generation,WON,WON_GB-PMSG,glass,0,,
2020,inflow,kg/MW,World,generation,WON,WON_GB-PMSG,copper,2731,,
2020,inflow,kg/MW,World,generation,WON,WON_GB-PMSG,tantalum,0,,
2020,inflow,kg/MW,World,generation,WON,WON_GB-PMSG,cobalt,0,,
2020,inflow,kg/MW,World,generation,WON,WON_GB-PMSG,lead,0,,
2020,inflow,kg/MW,World,generation,WON,WON_GB-PMSG,manganese,210,,
2020,inflow,kg/MW,World,generation,WON,WON_GB-PMSG,nickel,444,,
2020,inflow,kg/MW,World,generation,WON,WON_GB-PMSG,neodymium,51,,
2020,inflow,kg/MW,World,generation,WON,WON_GB-PMSG,dysprosium,6,,
2020,inflow,kg/MW,World,generation,WON,WON_GB-PMSG,praseodymium,4,,
2020,inflow,kg/MW,World,generation,WON,WON_GB-PMSG,terbium,1,,
#
2020,inflow,kg/MW,World,generation,WON,WON_DD-PMSG,steel,121376,,
2020,inflow,kg/MW,World,generation,WON,WON_DD-PMSG,aluminium,823,,
2020,inflow,kg/MW,World,generation,WON,WON_DD-PMSG,concrete,433953,,
2020,inflow,kg/MW,World,generation,WON,WON_DD-PMSG,plastics,0,,
2020,inflow,kg/MW,World,generation,WON,WON_DD-PMSG,glass,0,,
2020,inflow,kg/MW,World,generation,WON,WON_DD-PMSG,copper,3242,,
2020,inflow,kg/MW,World,generation,WON,WON_DD-PMSG,tantalum,0,,
2020,inflow,kg/MW,World,generation,WON,WON_DD-PMSG,cobalt,0,,
2020,inflow,kg/MW,World,generation,WON,WON_DD-PMSG,lead,6720,,
2020,inflow,kg/MW,World,generation,WON,WON_DD-PMSG,manganese,155,,
2020,inflow,kg/MW,World,generation,WON,WON_DD-PMSG,nickel,409,,
2020,inflow,kg/MW,World,generation,WON,WON_DD-PMSG,neodymium,180,,
2020,inflow,kg/MW,World,generation,WON,WON_DD-PMSG,dysprosium,17,,
2020,inflow,kg/MW,World,generation,WON,WON_DD-PMSG,praseodymium,35,,
2020,inflow,kg/MW,World,generation,WON,WON_DD-PMSG,terbium,7,,
#
2020,inflow,kg/MW,World,generation,WON,WON_DD-EESG,steel,121376,,
2020,inflow,kg/MW,World,generation,WON,WON_DD-EESG,aluminium,823,,
2020,inflow,kg/MW,World,generation,WON,WON_DD-EESG,concrete,433953,,
2020,inflow,kg/MW,World,generation,WON,WON_DD-EESG,plastics,0,,
2020,inflow,kg/MW,World,generation,WON,WON_DD-EESG,glass,0,,
